Sample.no,depth,Photos.available,Notes,Remarks,Age..in.Ma.,Age_New,Planktonic_d13C,Planktonic_d18O,Benthic_d13C,Benthic_d18O,P1,P2,P3,D1,D2,R1,R2,R3,R4,R5,R6,Radius,TD,T1,T2,T3,T4,T5,N1,N2,N3,N4,N5,N6,N,WT,Last.Complete.Whorl,No..of.chambers.in.final.whorl,Series,CA1_Avg,CA2_Avg,CA3_Avg,CA4_Avg,CA5_Avg,CL1_Avg,CL2_Avg,CL3_Avg,CL4_Avg,CL5_Avg,CW1_Avg,CW2_Avg,CW3_Avg,CW4_Avg,CW5_Avg,CR1,CR2,CR3,CR4,CR5,CR,Average_Radius,Average_Chambers,Average_Thickness,CR_Avg,Zones,PD
"11,14,1 70-83_1",65.7,,,,NA,33.37,NA,NA,NA,NA,141.91,211.96,177.41,163.75,308.44,466.71,665.93,936.12,1247.23,NA,NA,1247.23,41.03,49.12,46.71,85.43,106.58,NA,7,14,18,17,NA,NA,56,4.5,4,17,Oligocene,10907.37267,14120.983,18960.30233,36591.05233,41471.32967,103.2593333,113.5796667,138.6906667,181.4483333,194.4536667,152.8383333,128.8336667,155.3346667,217.752,236.7593333,0.675611485,0.881599271,0.892850705,0.833279756,0.821313626,0.821313626,828.9975,14,71.96,0.820930969,Zone 1,0.866625954
"11,14,1 70-83_2",65.7,,,,NA,33.37,NA,NA,NA,NA,187.43,254.61,203.91,124.63,246.02,434.56,698.03,892.63,NA,NA,NA,892.63,30.92,56.17,75.45,87.22,NA,NA,7,12,17,NA,NA,NA,36,3,3,17,Oligocene,22355.923,29380.71633,33035.81267,NA,NA,123.6126667,166.1463333,163.707,NA,NA,169.068,202.007,229.099,NA,NA,0.73114171,0.822478099,0.714568811,NA,NA,0.714568811,675.0733333,12,72.94666667,0.756062873,Zone 1,1.503891519
"17,24,1 20-35_2",68.3,,v.pyritised,,33.25,33.40,1.17,-2.33,1.24,-1.61,238.19,247.91,277.3,108.91,321.55,526.99,655.44,847.73,1044.31,NA,NA,1044.31,NA,NA,NA,NA,NA,NA,7,12,17,21,22,NA,79,5.5,5,22,Oligocene,10841.66667,16795.26767,28425.926,32214.506,42965.535,108.266,129.1923333,132.051,157.5156667,187.3963333,100.4936667,158.843,206.57,214.7,293.2286667,1.077341524,0.813333501,0.639255458,0.733654712,0.639079171,0.639079171,768.6175,15.8,NA,0.780532873,Zone 1,2.187035167
"17,24,3 0-15 1",70.1,,,,33.27,33.42,1.14,-2.24,1.49,-1.66,182.55,235.52,242.19,104.06,292.26,538.13,778.81,944.82,1273.89,NA,NA,1273.89,71.17,84.43,66.31,69.57,NA,NA,5,9,14,NA,NA,NA,28,4.5,3,14,Oligocene,38974.08333,30582.74867,28382.94133,43762.73167,NA,174.254,154.0113333,139.207,160.3626667,NA,255.34,239.994,260.0523333,265.1146667,NA,0.682439101,0.641729932,0.535303791,0.604880404,NA,0.604880404,883.9125,9.333333333,73.43666667,0.616088307,Zone 2,1.754276379
"17,24,3 0-15 2",70.1,,,,33.27,33.42,1.14,-2.24,1.49,-1.66,260.56,336.27,283.86,123.33,308.5,508.76,713.32,939.62,NA,NA,NA,939.62,36.95,74.73,63.82,65.79,NA,NA,6,10,15,NA,NA,NA,31,3.25,3,15,Oligocene,35767.03267,40353.22333,40783.03633,33140.146,NA,168.428,157.9036667,171.8316667,142.8926667,NA,231.048,277.2206667,263.5983333,254.9613333,NA,0.728974066,0.569595581,0.651869321,0.560448382,NA,0.560448382,720.5666667,10.33333333,68.11333333,0.627721837,Zone 2,2.112705749
"17,24,3 0-15 3",70.1,,,,33.27,33.42,1.14,-2.24,1.49,-1.66,174.34,207.48,211.35,124.07,259.81,434.14,658.79,NA,NA,NA,NA,658.79,38.69,62.35,75.44,NA,NA,NA,6,13,17,NA,NA,NA,36,3,3,17,Oligocene,20992.86067,22985.07567,25530.00633,NA,NA,122.6203333,139.684,129.3823333,NA,NA,176.6256667,169.3183333,191.2486667,NA,NA,0.694238474,0.824978591,0.676513649,NA,NA,0.676513649,546.465,12,68.895,0.731910238,Zone 2,1.405174498
"17,25,1 50-60_1",71.9,,angle - check if should include,,33.29,33.43,1.35,-1.95,1.95,-1.62,196.88,230.08,248.31,105.89,283.93,535.11,741.31,973.78,NA,NA,NA,973.78,77.73,70.59,61.91,NA,NA,NA,7,13,19,NA,NA,NA,39,3,3,19,Oligocene,23513.97933,40398.948,41886.92633,NA,NA,171.883,186.1993333,179.617,NA,NA,151.5123333,228.915,242.1793333,NA,NA,1.134448901,0.813399442,0.741669397,NA,NA,0.741669397,750.0666667,13,66.25,0.896505913,Zone 2,1.85928794
"17,25,1 50-60_2",71.9,,?,,33.29,33.43,1.35,-1.95,1.95,-1.62,246.83,316.36,284.78,151.85,329.01,537.79,806.68,1043.93,1290.69,1531.1,NA,1531.1,47.56,79.09,104.06,88.58,91.79,NA,6,10,17,21,NA,NA,54,5,4,21,Oligocene,25044.59,61957.23,48085.392,59940.21633,NA,138.4576667,201.7073333,175.352,194.152,NA,176.215,319.4936667,285.7363333,326.0083333,NA,0.785731445,0.631334372,0.613684644,0.595543059,NA,0.595543059,1042.038,13.5,90.88,0.65657338,Zone 2,1.625485677
"17,25,2 48-59 1",72.88,,,,33.29,33.43,1.36,-1.93,1.72,-1.62,211.93,242.4,238.56,104.42,260.16,455.39,722.08,976.58,NA,NA,NA,976.58,44.71,69.52,82.4,81.73,NA,NA,6,9,15,21,NA,NA,51,4,4,21,Oligocene,21453.55633,31887.55833,45079.82,39126.063,NA,133.2466667,151.196,173.052,169.4953333,NA,166.7723333,230.9043333,260.1403333,251.147,NA,0.798973451,0.654799318,0.665225564,0.674884961,NA,0.674884961,718.0166667,12.75,77.88333333,0.698470824,Zone 2,2.029592032
"17,25,2 48-59 3",72.88,,,,33.29,33.43,1.36,-1.93,1.72,-1.62,237.01,258.39,286.52,158,353.16,578.52,813.18,NA,NA,NA,NA,813.18,55.81,70.54,77.92,NA,NA,NA,7,13,19,NA,NA,NA,39,3,3,19,Oligocene,40609.504,38426.30833,51325.75767,NA,NA,169.1363333,172.1523333,200.084,NA,NA,215.9313333,216.2795,272.4246667,NA,NA,0.783287588,0.795971571,0.734456253,NA,NA,0.734456253,695.85,13,74.23,0.771238471,Zone 2,1.500063291
"17,25,2 48-59 4",72.88,,,,33.29,33.43,1.36,-1.93,1.72,-1.62,191.02,219.24,234.98,141.32,288.4,491.75,687.7,NA,NA,NA,NA,687.7,44.18,54.55,67.25,NA,NA,NA,6,14,18,NA,NA,NA,38,3.25,2,18,Oligocene,28778.057,23691.838,25083.88967,17193.08,NA,147.0073333,140.8836667,137.6496667,108.869,NA,203.6446667,184.4573333,198.1476667,208.912,NA,0.721881578,0.763773736,0.694682249,0.521123727,NA,0.521123727,589.725,12.66666667,60.9,0.675365322,Zone 2,1.351684121
