sample,TDP12 Depth (m),TDP12 mcd (+58m),Age_New,d13C,d18O,d13C Cib,d18O Cib,Remarks,,
" 29/1, 16-31 cm",83.05,83.05,33.54,1.54,-2.01,1.63,-1.31,,,
"29/2, 38-48 cm",84.27,84.27,33.55,1.61,-2.31,1.96,-1.3,,,
29/CC,84.89,84.89,33.55,1.42,-2.15,1.84,-1.35,,,
"31/1, 20-35 cm",89.1,89.1,33.60,1.33,-2.03,1.72,-1.29,,,
"31/2, 0-15 cm",89.9,89.9,33.61,1.23,-1.96,1.53,-1.34,,,
"31/3, 0-15 cm",90.9,90.9,33.61,1.41,-2.13,1.42,-1.58,,,
"31/4, 0-12 cm",91.9,91.9,33.62,1.59,-2.24,1.84,-1.2,,,
"32/2, 0-15 cm",92.9,92.9,33.63,1.05,-2.14,1.2,-1.34,,,
"32/3, 0-15 cm",93.9,93.9,33.64,1.06,-2.2,1.49,-1.26,,,
"32/4, 14-20 cm",95.04,95.04,33.65,1.24,-2.02,1.68,-1.39,,,
"33/1, 3-18 cm",94.93,94.93,33.65,1.06,-2.32,1.06,-1.45,,,
"33/2, 0-15 cm",95.9,95.9,33.66,0.94,-2.49,1.17,-1.52,,,
"33/3, 0-15 cm",96.9,96.9,33.68,1.04,-2.23,1.28,-1.4,,,
"34/1, 0-7 cm",97.9,97.9,33.73,1.09,-2.64,0.65,-1.45,,,
"34/2, 91-99 cm",99.81,99.81,33.81,1,-2.33,1.34,-1.48,,,
"34/4, 3-11 cm",100.93,100.93,33.84,1.09,-2.45,0.95,-1.57,,,
"35/1, 12-18 cm",101.02,101.02,33.86,1.12,-2.67,1.12,-1.71,,,
"35/1, 49-55 cm",101.39,101.39,33.87,1.24,-2.6,1.11,-1.95,,,
